PEX4	YGR133W	PEX1	YKL197C	1
PEX4	YGR133W	PEX22	YAL055W	1
PEX4	YGR133W	PEX10	YDR265W	1
PEX4	YGR133W	PEX5	YDR244W	1
PEX4	YGR133W	PEX13	YLR191W	1
PEX4	YGR133W	PEX2	YJL210W	1
PEX4	YGR133W	PEX19	YDL065C	1
RNH70	YGR276C	PIN2	YOR104W	1
ASI3	YNL008C	YMR119W-A	YMR119W-A	1
YPK2	YMR104C	GND2	YGR256W	1
YPK2	YMR104C	YOL114C	YOL114C	1
YPK2	YMR104C	MNS1	YJR131W	1
YPK2	YMR104C	LEU4	YNL104C	1
YPK2	YMR104C	DAN1	YJR150C	1
YPK2	YMR104C	YJL132W	YJL132W	1
LSM3_damp	YLR438C-A	prp4-ts	YPR178W	1
LSM3_damp	YLR438C-A	snu114-60	YKL173W	1
LSM3_damp	YLR438C-A	PAT1	YCR077C	1
LSM3_damp	YLR438C-A	LSM4_damp	YER112W	1
LSM3_damp	YLR438C-A	LSM1	YJL124C	1
LSM3_damp	YLR438C-A	VPS72	YDR485C	1
SHS1	YDL225W	pse1-41	YMR308C	1
SHS1	YDL225W	WHI5	YOR083W	1
SHS1	YDL225W	cdc11-2	YJR076C	1
SHS1	YDL225W	BEM1	YBR200W	1
SHS1	YDL225W	cdc11-5	YJR076C	1
SHS1	YDL225W	cdc10-4	YCR002C	1
SHS1	YDL225W	CLA4	YNL298W	1
SHS1	YDL225W	GIN4	YDR507C	1
SHS1	YDL225W	BNI4	YNL233W	1
SHS1	YDL225W	sec9-4	YGR009C	1
MKS1	YNL076W	RTG2	YGL252C	1
MKS1	YNL076W	RTG1	YOL067C	1
MKS1	YNL076W	RTG3	YBL103C	1
MKS1	YNL076W	OCA2	YNL056W	1
MKS1	YNL076W	IDH2	YOR136W	1
MKS1	YNL076W	BAS1	YKR099W	1
YGR228W	YGR228W	KES1	YPL145C	1
YGR228W	YGR228W	MSB1	YOR188W	1
YGR228W	YGR228W	ACK1	YDL203C	1
YGR228W	YGR228W	ELP4	YPL101W	1
YGR228W	YGR228W	CNE1	YAL058W	1
YGR228W	YGR228W	YAL058C-A	YAL058C-A	1
YGR228W	YGR228W	PGM1	YKL127W	1
YGR228W	YGR228W	RHO2	YNL090W	1
YGR228W	YGR228W	YMR124W	YMR124W	1
YGR228W	YGR228W	TPM1	YNL079C	1
YGR228W	YGR228W	OST6	YML019W	1
YGR228W	YGR228W	API2	YDR525W	1
YGR228W	YGR228W	SBE2	YDR351W	1
YGR228W	YGR228W	SMI1	YGR229C	1
YGR228W	YGR228W	FKS1	YLR342W	1
