	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YPR083W	NaN
YNL196C	0.051
YHL025W	3.191
YEL030W	-0.609
YBR172C	-0.200
YDL035C	2.406
YPL178W	1.348
YJR021C	1.614
YGR077C	0.062
YOR126C	-0.186
YNL139C	-7.272
YLR092W	0.486
YER077C	0.462
YCR044C	1.603
YGL235W	-0.374
YDR492W	0.052
YDR095C	0.008
YJR134C	-0.011
YCR037C	-0.023
YJL218W	-1.546
YGR223C	-3.531
YLL041C	0.201
YHR159W	0.027
YER155C	NaN
YDR191W	-0.600
YBR226C	0.033
YOR219C	0.036
YPL221W	-0.022
YDR115W	1.765
YER079W	0.158
YNL326C	0.612
YKR091W	-0.040
YJL112W	0.710
YPL194W	-7.506
YHR047C	0.131
YDR360W	-1.680
YLR384C	3.608
YKL198C	0.191
YOR133W	0.006
YGL175C	-16.116
YDR159W	-2.889
YFL035C-B	-0.043
YPR063C	0.009
YPR114W	0.014
YMR312W	3.635
YOR131C	-0.678
YDR420W	0.013
YDR286C	0.022
YPL019C	-0.586
YKR015C	0.021
YIL138C	-0.327
YKR042W	0.688
YFR027W	NaN
YPL034W	0.005
YMR108W	NaN
YDR419W	0.812
YAL004W	-0.018
YLR065C	1.864
YER164W	-2.474
YHR045W	-0.086
YDR205W	-0.218
YKL149C	0.212
YGR285C	1.880
YGL086W	0.135
YGR103W	NaN
YDR116C	-0.072
YMR316W	-2.497
YJR141W	NaN
YDR428C	-0.544
YPL023C	0.198
YOR200W	0.171
YHR180W	0.057
YGL146C	0.010
YLR050C	0.284
YNL270C	1.527
YCL002C	0.150
YBR008C	-0.223
YNL077W	0.477
YBL093C	1.070
YOR357C	-0.010
YLL001W	0.372
YBL005W	0.073
YLR284C	0.104
YIL139C	0.148
YGR009C	NaN
YDR336W	0.841
YOR140W	0.219
YLR001C	0.052
YEL071W	-0.071
YOR339C	0.072
YJR047C	0.699
YHR028C	0.473
YDL157C	0.370
YCR022C	0.015
YLR412W	-2.286
YLR373C	-0.011
YHL007C	0.053
YPL049C	-0.283
YMR055C	-0.230
YDR277C	-0.926
YDR484W	-2.581
YMR144W	-0.318
YER112W	NaN
YBR258C	0.001
YIR043C	0.037
YPR096C	-1.789
YOR360C	-3.191
YHR210C	0.864
YML022W	1.571
YHR136C	0.176
YBR178W	0.015
YDL060W	NaN
YAR040C	0.041
YIL117C	0.019
YGL258W	2.028
YNL122C	0.000
YPR013C	-0.529
YKL107W	0.000
YPR057W	0.067
YOR018W	-1.224
YBR042C	0.504
YHR157W	0.061
YEL023C	-0.479
YOR289W	-0.657
YJL084C	0.145
YGR235C	-0.582
YGL260W	-0.507
YIL148W	1.405
YLR368W	1.172
YML128C	1.290
YML002W	0.295
YGR262C	0.396
YPL257W	0.319
YLR114C	0.994
YKL046C	-1.099
YLR098C	-0.528
YJL147C	-0.303
YDL169C	-0.329
YBL061C	-2.923
YDL214C	-0.406
YBR233W	1.107
YNL307C	-1.004
YJL057C	-0.545
YNL051W	2.830
YJR150C	0.544
YJR122W	NaN
YKL016C	2.555
YDR146C	0.950
YML003W	-0.392
YFL054C	-0.155
YPL004C	-0.111
YOR318C	-0.855
YNL052W	0.544
YIL037C	-1.298
YOR274W	2.503
YOL065C	0.442
YMR014W	NaN
YER038C	NaN
YLR395C	-0.113
YDL160C	-0.055
YJL171C	0.179
YJR139C	NaN
YJR137C	0.730
YKL053C-A	1.978
YBR271W	-0.558
YDR193W	0.614
YPL229W	-0.496
YNL144C	-1.048
YCR059C	0.251
YGR012W	0.256
YOR296W	0.186
YOR225W	0.155
YLR077W	0.210
YDR493W	-0.430
YNL333W	-0.934
YIL050W	-0.403
YGR135W	0.007
YDR416W	NaN
YPR012W	-0.023
YNL003C	0.062
YFL055W	0.241
YMR090W	0.111
YIL058W	0.033
YOR332W	1.406
YKL136W	-1.581
YER180C	-0.532
YKL091C	0.009
YJR124C	1.291
YDR100W	-1.290
YIL170W	-0.910
YGR131W	0.022
YEL034W	NaN
YDL115C	1.489
YLR450W	0.209
YHR195W	0.000
YAL062W	-0.770
YNL314W	-2.244
YKL098W	-0.143
YER188W	-0.038
YDR241W	1.170
YDR122W	-0.911
YIR014W	0.006
YJR095W	-0.048
YFL036W	2.135
YCR091W	-0.440
