	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YMR030W	-0.265
YMR018W	-0.006
YBR157C	-0.015
YLR390W	0.760
YOL029C	1.256
YDL012C	0.002
YGL051W	0.069
YIL120W	0.486
YCR043C	0.000
YGL144C	-0.820
YFR044C	0.334
YDL107W	0.043
YGL105W	1.049
YMR076C	NaN
YIL153W	-4.002
YGR032W	-1.018
YBR277C	0.042
YDR137W	NaN
YOR099W	0.101
YOR003W	-0.088
YER014C-A	NaN
YLL039C	-0.964
YMR225C	0.007
YML019W	-0.017
YER089C	-1.568
YDL061C	-0.377
YOR273C	-0.656
YOR009W	0.322
YBR171W	0.682
YKL030W	-0.255
YNR027W	-0.395
YOR325W	0.001
YGR129W	0.177
YDR441C	0.727
YOR175C	0.631
YGL215W	0.110
YLR399C	1.075
YBL054W	-1.113
YLR108C	0.083
YHR050W	2.599
YOL098C	-0.430
YMR132C	0.550
YLR102C	0.010
YOR022C	-0.115
YNL336W	-0.003
YLR382C	1.803
YJL024C	1.758
YKL079W	-0.115
YKL060C	NaN
YOR330C	1.353
YPR138C	0.008
YKL178C	NaN
YDR323C	0.142
YHR167W	-1.065
YMR066W	2.161
YKL017C	-0.002
YGL156W	0.069
YJL128C	-0.028
YDR263C	-0.881
YDL076C	-2.526
YLR025W	-0.424
YHR081W	3.432
YDR541C	-0.065
YLR081W	-0.839
YCR026C	0.283
YBR206W	0.923
YGR161C	-0.035
YGR153W	-0.051
YDL116W	-5.241
YMR194W	2.189
YBL032W	0.163
YJL110C	-0.961
YIL071C	0.204
YER133W	NaN
YOR364W	-0.533
YJL145W	0.223
YNL016W	-2.284
YOR067C	-0.540
YML037C	0.111
YDR009W	0.332
YPR126C	-1.475
YHR126C	0.580
YHR006W	0.119
YOR107W	-0.280
YOR032C	-0.497
YJL187C	1.484
YDR516C	2.141
YCR068W	0.981
YOR169C	NaN
YGL199C	0.725
YDR488C	0.013
YDR352W	-0.002
YNL119W	2.472
YGR261C	0.096
YNL206C	2.168
YNL034W	0.247
YNR032W	-0.063
YMR075W	-2.502
YPR025C	NaN
YDR399W	0.038
YML059C	0.048
YPR143W	NaN
YDR365C	NaN
YNL291C	0.539
YMR170C	0.070
YJR020W	-0.009
YPL220W	-0.168
YNR004W	1.168
YDR313C	-0.147
YJL140W	0.255
YOR096W	0.766
YIL002C	0.019
YHR004C	2.534
YHL012W	-1.453
YMR069W	-0.047
YHR015W	0.217
YIL001W	-0.021
YHR135C	0.037
YDR048C	0.067
YOR371C	0.684
YMR289W	-0.179
YHR182W	-1.036
YFR009W	0.050
YDR041W	NaN
YDL170W	0.357
YIR020W-B	-0.383
YGL139W	-0.392
YKR025W	NaN
YIL020C	0.266
YOL080C	2.366
YLR456W	0.073
YER078C	0.354
YNR019W	-1.108
YHR041C	0.028
YKR089C	-0.730
YOR367W	-0.674
YNR052C	-6.267
YGR289C	0.002
YLR194C	0.189
YJL017W	1.357
YER018C	NaN
YER017C	2.109
YER028C	0.659
YGR169C	0.061
YHR122W	NaN
YER007C-A	2.381
YBR080C	NaN
YLR028C	-1.490
YOL085C	-0.085
YGL226W	-0.613
YMR319C	-0.192
YNL330C	NaN
YBR204C	0.012
YMR186W	0.290
YIL086C	-0.676
YAL047C	0.672
YMR228W	0.603
YKL025C	0.168
YNL073W	0.013
YOL075C	-0.499
YGR287C	-0.001
YGL089C	0.587
YBR059C	0.730
YPL125W	3.150
YOR359W	0.300
YOR031W	-0.721
YOR189W	2.968
YHR032W	-0.378
YGL239C	NaN
YER122C	1.579
YDR296W	NaN
YER061C	NaN
YLR126C	-0.006
YPL192C	-0.141
YOL084W	0.760
YNL224C	0.549
YJL058C	-1.090
YPL046C	0.007
YDR525W	-0.138
YGR167W	-1.535
YJL136C	3.737
YNL293W	0.066
YCR087W	2.201
YBL004W	NaN
YOR238W	-0.050
YDR285W	-0.009
YPL074W	-0.003
YMR264W	-0.341
YLR286C	0.020
YER086W	NaN
YDL165W	NaN
YCL032W	0.340
YLR322W	0.031
YPL260W	-0.200
YJL214W	1.119
YER119C	0.007
YOR137C	0.476
YLR062C	1.946
YKR059W	0.140
YHL041W	1.053
YPR074C	-0.463
YLR262C	3.508
YKR077W	-2.164
YLR026C	NaN
YFR008W	-0.003
YKL218C	0.042
YGR199W	-0.344
YLR024C	0.137
YGR070W	0.024
YOR068C	-0.005
YCR073C	-0.218
YER107C	NaN
YJL211C	0.123
YKL035W	NaN
YDR062W	NaN
YBR272C	0.033
YBR180W	0.437
YCL006C	-0.192
YKL162C-A	-0.016
YOL027C	0.375
YJR034W	-0.061
YOR170W	-0.004
YOL050C	-1.881
YML123C	2.813
YDR405W	1.573
YBR169C	0.007
YOR252W	-0.020
YLR269C	0.196
YPR009W	-0.007
YPR003C	0.558
YNL313C	NaN
YDL006W	-4.662
YLR426W	-5.317
YBL079W	-0.138
YIL027C	1.119
YGR283C	-1.181
YOR259C	NaN
YNL266W	0.002
YLR185W	0.626
YGR177C	-1.035
YFR035C	-0.062
YDR216W	-0.066
YGR279C	-1.409
YMR099C	1.222
YHR075C	-1.782
YLR320W	-0.890
YMR277W	NaN
YDR318W	-0.106
YNL167C	NaN
YMR247C	0.001
YBL028C	-0.349
YLR259C	NaN
YGR035C	-0.003
YPR039W	-2.261
YOR363C	-0.055
YLR213C	-0.006
YOR342C	0.004
YHL019C	0.280
YBR181C	1.037
YPL159C	0.216
YOR040W	-0.454
YLR266C	0.112
YHR132C	0.132
YJR052W	-0.248
YDR179C	-0.523
YOR084W	0.576
YHR097C	0.673
YNL074C	-1.262
YLR045C	NaN
YIR010W	NaN
YEL007W	-1.400
YGR139W	-0.274
YBR005W	0.796
YGR044C	-0.118
YDR204W	2.072
YFR018C	0.061
YDR223W	0.914
YDR093W	-1.146
YCR014C	-0.780
YPR047W	1.986
YNL275W	0.757
YIR002C	-1.205
YGL013C	-6.170
YOR201C	0.387
YOR132W	-0.866
YOL037C	1.104
YLR228C	1.753
YJL142C	0.103
YPL274W	-0.612
YNL283C	-1.169
YPL113C	-1.123
YMR267W	2.938
YFR031C-A	1.625
YER156C	0.161
YJR109C	-0.001
YJR033C	-0.004
YOR303W	0.038
YMR216C	0.894
YKL059C	NaN
YJL127C	-10.761
YGR094W	NaN
YOR333C	-0.760
YJL082W	-0.018
YBR108W	-0.272
YDR020C	2.469
YJL070C	-1.066
YGL224C	0.021
YPR023C	-2.873
YIL062C	NaN
YKL065C	0.178
YGL043W	0.017
YLR038C	0.555
YMR009W	-0.029
YKR031C	-0.058
YKL177W	-1.750
YDR265W	0.606
YOR209C	0.456
YOL143C	NaN
YBR239C	-0.001
YGR259C	0.273
YMR087W	-0.004
YBL102W	0.069
YKR029C	0.922
YHR158C	-0.699
YDR333C	0.601
YNL242W	-0.006
YNR042W	0.503
YLR087C	-1.568
YKL002W	0.227
YDL093W	-1.201
YHR202W	0.070
YGR109C	-0.012
YPL073C	-0.118
YJL124C	-7.770
YGL261C	-0.003
YDR358W	-0.647
YGL087C	0.139
YDR275W	0.480
YMR025W	-0.105
YKL052C	NaN
YPL240C	-0.341
YIL066C	-0.243
YML021C	0.093
YJL097W	NaN
YGL217C	-0.898
YLR389C	-0.508
YBL035C	NaN
YPL110C	-0.814
YGR260W	-0.452
YDL220C	NaN
YJL197W	-0.259
YHR152W	-0.012
YER087W	0.669
YDR107C	-1.188
YBR264C	0.121
YLR225C	1.323
YKL115C	-0.919
YGR107W	-0.057
YGR066C	-1.041
YOR156C	-2.526
YDL243C	-0.054
YNL297C	0.040
YLL040C	-2.036
YER027C	0.364
YBR201W	0.622
YMR026C	-0.193
YLR393W	0.392
YOR214C	-0.872
YNL086W	-1.172
YMR054W	0.001
YMR290C	NaN
YIL083C	-1.936
YDL082W	1.598
YEL040W	-0.710
YBR040W	0.966
YPR117W	-0.609
YNL292W	0.315
YIL009W	-0.249
YPR129W	1.435
YOR246C	0.003
YDR028C	1.409
YLR451W	0.309
YKL186C	NaN
YKL097C	0.107
YLR253W	0.021
YIL107C	-0.646
YGL064C	1.012
YPL135W	-0.130
YLR237W	-0.281
YOR328W	0.000
YDL184C	0.655
YPL179W	0.053
YGR231C	-1.225
YPL261C	0.315
YJR074W	-1.020
YML117W-A	0.020
YFR036W	-0.338
YNL043C	-1.031
YJL025W	NaN
YKL181W	NaN
YMR060C	-0.004
YML010C-B	1.559
YOR024W	-0.430
YNL237W	-0.015
YLL038C	0.001
YJR048W	0.398
YAR044W	0.758
YLR438C-A	NaN
YDL210W	0.265
YAL028W	-1.042
YOL079W	2.987
YLR427W	0.037
YHR176W	1.215
YFL035C	NaN
YMR295C	0.913
YDL177C	0.015
YJL068C	-1.396
YGR282C	-0.516
YHL002W	0.143
YPR165W	NaN
YIL149C	0.550
YLR402W	0.111
YPR127W	-0.063
YNL098C	0.031
YLR049C	-0.079
YDR384C	-2.138
YMR150C	0.419
YJL003W	1.006
YOL044W	0.610
YLL028W	0.065
YML047C	0.002
YKL151C	0.060
YBR022W	-0.339
YDR225W	-0.173
YHR012W	0.000
YNL315C	0.339
YPL078C	4.708
YLR012C	1.200
YJR147W	0.030
YHR127W	0.288
YDL013W	0.857
YKL067W	-0.043
YPR103W	NaN
YGR011W	-0.233
YHL024W	0.486
YDR114C	1.852
YJR079W	2.046
YPR058W	-0.300
YMR322C	0.028
YMR280C	-0.307
YLR164W	-0.028
YOR162C	0.112
YCR013C	NaN
YBR069C	-2.874
YLR120C	-0.073
YLR053C	-0.014
YOR092W	-0.236
YNL281W	-0.063
YMR317W	-0.484
YGL104C	-0.023
YPL204W	NaN
YOR306C	0.609
YNL197C	0.133
YNL011C	-0.357
YDR452W	-0.550
YLR364W	-0.170
YGR203W	-0.468
YGL002W	-0.025
YPL268W	0.601
YGR028W	-0.227
YOR023C	0.022
YIL024C	-0.725
YOR173W	0.254
YHL020C	-1.948
YLR039C	1.429
YKL080W	0.005
YJR005W	2.028
YGR214W	-0.221
YDR152W	0.081
YBR050C	-0.090
YHR146W	-0.727
YAL058W	-0.045
YDR524C	0.870
YML095C-A	2.242
YNR015W	1.067
YPR152C	-0.008
YLR233C	0.192
YOR349W	NaN
YNL198C	2.611
YBR127C	0.121
YBL094C	-0.733
YNL339C	-0.022
YJR022W	NaN
YER007W	0.085
YHR038W	-1.175
YNL193W	0.483
YAR031W	0.201
YOL025W	-0.151
YGL213C	1.348
YAL005C	-0.134
YOR276W	-0.196
YPL144W	0.028
YGL053W	-0.503
YBR225W	2.418
YMR022W	-0.030
YHR066W	1.178
YFL046W	-0.187
YNL280C	-11.606
YLR337C	-0.501
YJR099W	-2.119
YEL068C	0.941
YBR007C	-0.004
YJR087W	-0.891
YGL149W	0.439
YNR058W	-0.654
YNL045W	-0.012
YGR286C	0.157
YCR021C	-0.649
YCL038C	0.025
YJL004C	2.315
YIL145C	0.502
YHL021C	-0.837
YOR052C	0.131
YMR230W	0.025
YER087C-A	1.718
YGR258C	-0.101
YDR042C	-0.029
YNL085W	-0.970
YJL042W	-0.030
YOR247W	-1.038
YLR297W	-0.254
YOL130W	NaN
YBR168W	3.873
YDR503C	-0.501
YKL179C	-0.847
YBL057C	-0.025
YGR021W	-1.443
YGR010W	0.122
YOL035C	0.490
YJL199C	1.240
YMR285C	-0.471
YPR106W	3.277
YKR045C	-0.014
YGR112W	-0.401
YBL091C	1.446
YLR338W	0.823
YHR021W-A	-0.063
YLR014C	0.520
YPL071C	-0.011
YGL211W	3.735
YGL079W	-1.137
YPL095C	0.144
YNL117W	-0.193
YMR096W	0.656
YFR039C	-1.539
YLL014W	-1.792
YNL020C	0.149
YLL005C	0.552
YCL074W	-0.041
YMR105C	2.350
YJL213W	0.010
YLR305C	NaN
YPL030W	-0.090
YDR026C	0.002
YBR241C	-0.483
YGL231C	-1.470
YOL150C	0.008
YPL070W	0.123
YLR110C	3.400
YER128W	0.229
YKL020C	-1.292
YNL322C	1.866
YDR112W	0.244
YNR075W	0.086
YJL126W	0.828
YKL034W	0.079
YMR231W	NaN
YDR131C	-0.424
YJL102W	3.805
YLR209C	-0.588
YER019W	-0.600
YDR465C	1.225
YPR031W	-0.460
YFR049W	-1.341
YLR299W	0.287
YML115C	2.124
YDR207C	-0.748
YJR083C	-3.751
YLR255C	0.009
YOL038W	NaN
YLL018C-A	-0.040
YGL252C	0.922
YOL020W	0.137
YEL046C	0.216
YKL137W	1.126
YMR182C	1.117
YER049W	-0.985
YPR136C	NaN
YMR215W	0.133
YMR172C-A	0.050
YER005W	-0.049
YPR199C	-0.833
YOR027W	0.508
YKR075C	-0.018
YLR351C	0.027
YBL072C	-0.022
YBR011C	NaN
YEL025C	0.015
YKL173W	NaN
YIL008W	NaN
YOR011W	0.183
YOR093C	-0.165
YPR156C	0.500
YGL041C	-0.231
YLR227C	0.843
YMR012W	-0.584
YKR047W	0.004
YDR222W	1.045
YBR162W-A	-0.516
YOR105W	0.011
YLL044W	0.029
YPL158C	-1.295
YGL254W	-1.067
YEL011W	0.151
YPL009C	0.315
YLL024C	1.499
YBR162C	0.847
YMR068W	-0.008
YLR446W	-0.027
YJL076W	NaN
YJL200C	0.087
YDR210W	0.036
YDL227C	-0.406
YKR100C	-0.005
YOR124C	-0.035
YGL226C-A	0.050
YDL120W	NaN
YKR019C	-0.018
YJR060W	-0.663
YPL042C	0.716
YDR015C	2.019
YNL189W	NaN
YPL264C	-0.379
YEL024W	1.029
YDL065C	0.358
YHR013C	0.164
YLR216C	-0.025
YKL057C	-0.094
YHR183W	1.990
YDR511W	-0.003
YJL099W	-2.400
YHR189W	1.652
YNL203C	0.923
YAL029C	0.865
YGL095C	-0.041
YEL045C	0.792
YER044C-A	0.433
YIR038C	-0.099
YDL194W	0.487
YGL046W	-2.128
YPL248C	-0.165
YIL121W	0.184
YGR256W	-0.472
YDL155W	-0.060
YKL024C	NaN
YDR230W	2.743
YKL206C	0.969
YJL047C	-16.687
YNL101W	-0.768
YCR005C	-1.003
YDR129C	0.200
YDR415C	-0.075
YMR279C	0.623
YLR376C	-1.874
YMR313C	-0.335
YOR324C	0.368
YKL156W	0.006
YIL047C	3.111
YJR119C	0.051
YLR325C	-1.228
YLR210W	-1.030
YKR067W	0.195
YDL056W	3.067
YGL227W	0.858
YPR189W	3.308
YIL068C	NaN
YBR146W	0.001
YKL124W	0.440
YEL060C	0.005
YCL076W	-0.070
YPL130W	-0.004
YMR217W	NaN
YDR479C	-0.699
YGL045W	-0.755
YBL008W	-0.088
YDL222C	-1.003
YML110C	0.724
YGR198W	NaN
YHL028W	-0.215
YDR071C	1.051
YOL158C	-0.487
YDR500C	0.131
YLR345W	-1.747
YDR011W	-3.842
YMR157C	0.311
YML027W	-0.834
YER011W	-0.505
YBR301W	-0.845
YMR259C	-1.289
YLR236C	-1.065
YLL035W	NaN
YGL158W	0.035
YDL088C	0.829
YLR270W	0.883
YNL284C	1.131
YBR294W	-0.046
YMR085W	-0.174
YHR193C	-0.696
YOL017W	0.062
YKR009C	0.040
YBR249C	-0.030
YLR290C	-0.573
YJR093C	NaN
YDR175C	0.879
YFR045W	-0.875
YDL144C	-0.054
YIL097W	NaN
YFR007W	-2.954
YLR457C	NaN
YML088W	-0.234
YOR014W	NaN
YNL236W	-3.566
YCR089W	-0.095
YFL033C	0.191
YBR056W	-0.987
YKR103W	0.032
YPR150W	0.033
YDL094C	-1.392
YPL212C	0.994
YKL070W	0.033
YAR042W	0.033
YDR326C	1.156
YJR104C	NaN
YGL101W	-1.141
YCL001W	-0.038
YBR218C	-0.407
YLR405W	-0.836
YDR305C	0.004
YJL028W	0.553
YML081C-A	-0.044
YKL175W	0.212
YOR378W	0.006
YJL179W	0.890
YPL068C	1.776
YGR050C	-1.137
YLR152C	0.567
YPL137C	0.034
YCR006C	-1.034
YPR195C	-0.014
YGR056W	-1.142
YNL219C	-0.132
YPL207W	0.002
YDR435C	-5.658
YDR234W	NaN
YKR069W	-0.183
YJR045C	NaN
YGL222C	0.003
YPL123C	-0.827
YLR432W	0.620
YGR130C	0.010
YNL079C	-0.089
YPR140W	0.008
YHL038C	0.215
YBR094W	-0.001
YDR482C	0.008
YGL259W	0.279
YGL067W	0.008
YLR449W	0.267
YBR219C	0.197
YGR049W	-0.402
YDR508C	-0.370
YMR133W	0.539
YBR177C	0.421
YHR031C	-2.328
YOR072W	1.396
YLR035C	0.092
YDL224C	0.011
YBR019C	1.219
YOR309C	2.403
YKL209C	NaN
YPL180W	1.877
YIL133C	2.080
YJL204C	-0.394
YGR105W	0.069
YDR340W	0.296
YBR175W	0.030
YLR403W	0.718
YHR163W	-0.777
YKL051W	-1.167
YJR088C	0.130
YMR195W	0.603
YMR053C	0.124
YDL027C	-0.894
YNL286W	1.529
YFR054C	-0.484
YPL038W	0.342
YMR316C-A	0.126
YNL325C	-0.195
YAL048C	0.464
YNR020C	-0.045
YNL004W	-0.025
YJL054W	-0.272
YGL136C	0.003
YLR113W	-1.452
YML024W	-1.230
YLL056C	-1.269
YJL184W	NaN
YDL200C	0.025
YOL016C	0.161
YAR015W	NaN
YJL075C	-0.005
YPL114W	0.345
YDR371W	0.081
YBR200W	-10.651
YHL039W	-0.041
YGR111W	0.501
YEL003W	0.478
YPR077C	-1.466
YPL079W	-2.437
YFR051C	NaN
YDL019C	-1.368
YLR169W	-0.880
YLR122C	-0.017
YPR045C	0.156
YGL037C	-0.030
YLL042C	-0.927
YDR174W	2.462
YOL116W	-1.486
YBL055C	0.942
YDR127W	-0.114
YMR297W	-0.044
YPL272C	0.481
YGL057C	-0.937
YOR177C	0.064
YJL119C	-0.307
YPR088C	NaN
YJR108W	-0.012
YKL037W	-0.397
YLR079W	-1.312
YDR461W	1.348
YJR011C	0.012
YDR031W	-0.690
YHL022C	0.541
YOL088C	0.038
YKR050W	-0.631
YLR143W	-0.128
YHR106W	2.649
YIL054W	-0.091
YDR505C	-1.818
YOR186W	1.909
YLR332W	-0.113
YER166W	0.016
YDR173C	1.355
YPR046W	-0.094
YDR239C	0.092
YPL196W	-0.579
YOR154W	-0.500
YOR241W	3.618
YLR154C	-0.207
YDR393W	0.443
YDL039C	-0.668
YFR004W	NaN
YOR134W	-1.748
YLR135W	-5.330
YJR142W	-1.980
YKR005C	-0.092
YGR252W	0.147
YHL036W	0.026
YMR080C	0.077
YML086C	-0.768
YML070W	1.158
YER010C	NaN
YKL215C	-1.052
YNR037C	0.174
YML074C	0.701
YGL033W	0.782
YDR035W	-0.993
YOL163W	-0.005
YLR137W	-0.022
YOR136W	0.602
YJL189W	3.111
YBR276C	-0.012
YLR080W	-0.444
YDR283C	-0.005
YMR282C	1.028
YDR056C	-0.041
YLR380W	-0.518
YMR294W	-3.177
YOR044W	-0.059
YLR361C	-0.882
YML118W	-0.016
YER123W	0.061
YGL219C	1.672
YKR058W	-0.140
YKR043C	-1.201
YJR025C	0.762
YJL193W	-1.824
YMR044W	0.006
YLR267W	-0.530
YPR131C	0.172
YEL008W	-1.203
YPL216W	-1.408
YLR304C	4.306
YNR024W	0.017
YGR133W	1.270
YNL335W	0.060
YLL050C	NaN
YGL157W	0.003
YNL187W	0.137
YKL205W	-0.014
YJL016W	1.742
YNL109W	2.055
YOL019W	0.010
YDR338C	-0.169
YKR061W	-2.199
YGR192C	1.468
YGR040W	-0.202
YOR223W	-0.835
YOR185C	-1.125
YPR002W	-0.038
YER051W	0.356
YPL090C	NaN
YOL024W	-0.856
YLR278C	0.998
YAL040C	-0.022
YJL064W	0.099
YHL003C	0.016
YDR495C	0.684
YDR521W	0.231
YLR287C-A	2.147
YNL097C	-1.790
YOR078W	1.117
YGR164W	-0.149
YDR309C	0.071
YDR231C	0.794
YER167W	0.393
YFL006W	-0.048
YDL211C	1.087
YOR300W	-0.946
YNL125C	0.118
YAL053W	-0.451
YKR076W	-0.064
YKL146W	-0.190
YLL027W	NaN
YOL132W	-0.035
YLR425W	-0.009
YGL077C	0.022
YMR152W	-2.222
YKL073W	NaN
YOR316C	1.381
YPL067C	-0.331
YLR131C	-0.114
YER119C-A	0.198
YBR027C	-2.683
YPL150W	0.035
YIL007C	-0.092
YER118C	0.020
YGL256W	-0.388
YLR268W	1.877
YHR044C	-1.095
YLR448W	3.792
YGR068C	-1.280
YDR514C	-0.119
YDR539W	0.009
YOL028C	2.094
YFR010W	-3.477
YBR285W	-0.333
YIL077C	0.027
YAL058C-A	0.012
